message_id,user_id,nickname,Ground_truth,Label_Algorithm,comment_text,API_score,up_count,down_count,reply_count,Default,Moderation_bot,Recommendation_bot,Bot_Assessment_Type,Reason
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,abusive,unabusive,"What to expect: more f00lish people walking around! That's why they call it dope, you dopes! LOL",,2,2,7,,,,FN,"What to expect: more foolish people walking around! That's why they call it dope, you dopes! LOL"
af5372a3-3e64-4b49-b19a-77a6f78cd8d4,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,abusive,abusive,weak degenerate drug trash can't get through life without getting high. the dregs of society who use food stamps,88.82% likely to be toxic.,1,4,3,,Bot assessment: 88.82% likely to be toxic.,,TP,
fe3f4540-4162-434c-bfdc-fc99a0c1772a,6OT3LND3VL6DUIWLPBJ24IZRCQ,BenjaminF,abusive,abusive,"Hey the possum Sessions.

GET A JOB, LOSER!!",86.06% likely to be toxic.,3,0,0,,Bot assessment: 86.06% likely to be toxic.,,TP,
008c0aad-c2f1-4f75-aaf8-064b25172df7,QTOBVZW4IIYV2BFO6EWZ2OTMOA,MP,abusive,abusive,all that was needed are more stoned Mormons Morons,84.77% likely to be toxic.,1,0,0,,Bot assessment: 84.77% likely to be toxic.,,TP,
47c02c77-60b1-489b-aa8b-45e191b7a3e3,TLEQJN36K42UK2Q2Q2UYBGP3WM,Jack,abusive,unabusive,"Eric, you are a tr0ll, go find p0rn to watch d0rk. The adults are talking about reality",,0,0,0,,,,FN,"Eric, you are a troll, go find porn to watch dork. The adults are talking about reality"
18f81213-7b42-4632-a431-f40cef9dd048,5LQRESOG3WWXH6JHLG25ZHQMCI,George,abusive,abusive,"What to expect?

More dead libtards!",76.84% likely to be toxic.,5,7,1,,Bot assessment: 76.84% likely to be toxic.,,TP,
e890f1ac-4880-42e0-b569-d38c86af1a67,6SBVYZ5QE22M7VQKGURTI55TUE,Stanley,abusive,unabusive,"This won't last very long, I know many mothers who gave this garbage to their little kids and they all have brain damage. They gonna build more Jails for all you Low Lifes to spend some time in like you deserve !",,1,2,0,,,,FN,
6a238afd-7653-432f-80d6-85861a9ccb72,ST27FEFDBIHKLUEQOWWLN4DPG4,lostincali,abusive,unabusive,"If the united states where ever to come under attack, These are the states they should attack first Because there all as high as a kite .",,0,0,0,,,,FN,
a1d3844b-c02c-40ac-9efb-928d882b54cd,55NG2EWTPXBE65UVQQVMPIWFL4,Pdei47,unabusive,unabusive,Smoked some Willie Nelson and felt like a new person.  Keep those opioids give people some of the Willie Nelson.,,39,8,1,,,,TN,
9a497245-13dc-40c7-ac05-836e2c9533e5,IOEUQJYRK7LMNYCF6Y7CZ5G52U,Eric,unabusive,unabusive,Democrats & George Soros need people to be stoned.....,,2,1,0,,,,TN,
3ca3ed9a-c9c3-49af-a689-d552f9fcd393,YHRVOCLTCW3YFZ3CG2PMD5XCBY,Uggydoggy,unabusive,abusive,"Legalise the darn thing on a National scale...and tax it like gasoline, alcohol and cigarettes. It's the same thing as those advocating stupid gun bans; you can take them away but people will always find a way to buy them.",74.47% likely to be toxic.,2,2,0,,Bot assessment: 74.47% likely to be toxic.,,FP,
d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,unabusive,unabusive,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",,9,35,8,,,Recommended by bot,FP,mislead by wonderful
ecf773f6-28f4-4ec0-93a6-00922eab4d23,HO2LXUMA6BT4EMSRNA7QDYIHYQ,eluna,unabusive,unabusive,Legalize pot and you will see the economy sky rocket.,,12,4,0,,,,TN,
cbd11fda-3385-456b-8776-4ec0cddec4bf,6XAO6QYL7EKRECWKTQIRLHQMMQ,hello,unabusive,abusive,How disgusting. more weed more more drug addicts.,80.45% likely to be toxic.,1,1,1,,Bot assessment: 80.45% likely to be toxic.,,FP,
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,unabusive,unabusive,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",,40,3,7,,,,FN,good point
2ca22125-05d7-46b9-b613-bf46effb068b,SO6OWYBES4LMAB7CKOHM5GWVUC,Troll_God,unabusive,unabusive,Good there are way more benefits to medical use than the media and big pharmaceutical want to let on..I'm glade there's a movement,,4,3,0,,,,TN,
138099a1-f6aa-468b-9239-6ab6edc26c89,7LERFJTUCCVVPT25HZDLH7V7MA,Tim_D,unabusive,unabusive,I have no problem with MEDICAL ....The Other I do . You Still Have To Pass A Drug And Alcohol Test To Work . And It makes A lot people Not Have A Job .,,3,5,3,,,,FN,good point
